RSN,EQID,Station_Code,Magnitude,Fault_Mechanisc,depth,Joyner_Boore_Rjb,Soil_site_class,PGA,T0.010S,T0.020S,T0.030S,T0.040S,T0.050S,T0.060S,T0.070S,T0.080S,T0.090S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.800S,T1.000S,T1.200S,T1.500S,T1.800S,T2.000S,T2.500S,T3.000S,T3.500S,T4.000S,T5.000S
1,1,BAIT,5.3,0,47,77.74,C,0.046779,0.045698,0.06523,0.068129,0.068843,0.062765,0.070721,0.071682,0.084354,0.088371,0.094807,0.078466,0.078096,0.091738,0.075155,0.04701,0.040915,0.016335,0.012331,0.0093685,0.0075475,0.0069884,0.0054322,0.0031506,0.0035221,0.002621,0.0019412,0.0015394
2,1,DAUK,5.3,0,47,20.56,C,0.079533,0.081731,0.08376,0.095096,0.09845,0.10908,0.11913,0.13373,0.19879,0.20847,0.24663,0.23721,0.198,0.18066,0.1694,0.049411,0.043429,0.016305,0.012415,0.009483,0.005991,0.005351,0.0041109,0.0032551,0.0037948,0.0039305,0.0030965,0.0017214
3,1,KHLI,5.3,0,47,20.47,A,0.032125,0.038523,0.038376,0.03482,0.039208,0.044902,0.049501,0.052251,0.061157,0.074631,0.087347,0.061944,0.07613,0.084199,0.061868,0.035728,0.02033,0.007962,0.0070015,0.0074316,0.0058834,0.004908,0.0046787,0.0023073,0.0029275,0.0028282,0.0026946,0.0020157
4,1,NONK,5.3,0,47,59.46,A,0.079107,0.077926,0.08484,0.092761,0.084922,0.090579,0.092576,0.085543,0.095636,0.10138,0.10006,0.14523,0.17953,0.31247,0.35635,0.10506,0.057448,0.02032,0.018208,0.018403,0.016553,0.012721,0.01197,0.0092787,0.010735,0.006984,0.0044606,0.0037814
5,1,NONP,5.3,0,47,63.45,A,0.052911,0.080415,0.071296,0.076989,0.10602,0.10127,0.13177,0.14143,0.098274,0.069851,0.081273,0.10677,0.21186,0.096658,0.045204,0.024923,0.015194,0.0086093,0.0076409,0.0053673,0.0038828,0.0041255,0.0041338,0.003823,0.0050038,0.0045293,0.0037648,0.0025761
6,1,NONS,5.3,0,47,87.3,A,0.016127,0.015124,0.019104,0.022396,0.021338,0.025338,0.025085,0.026276,0.030375,0.034165,0.041108,0.047734,0.04093,0.027292,0.01589,0.010065,0.0097937,0.0071055,0.0054942,0.0047504,0.0059539,0.0033297,0.0030116,0.0053925,0.0050258,0.0033528,0.00273,0.0021203
7,1,PANI,5.3,0,47,71.01,C,0.044754,0.059336,0.056901,0.059421,0.068014,0.088998,0.14251,0.13211,0.10762,0.099927,0.12679,0.12633,0.12508,0.054546,0.039661,0.023748,0.013555,0.0089712,0.0054169,0.0050214,0.0046034,0.0035155,0.0025525,0.0020589,0.002118,0.0022377,0.0023096,0.0013779
8,1,PYNU,5.3,0,47,22.4,A,0.078536,0.081081,0.08074,0.08133,0.10987,0.10738,0.11356,0.11692,0.148,0.17586,0.19721,0.35345,0.14494,0.11968,0.08215,0.04687,0.027017,0.014409,0.012901,0.011697,0.012719,0.0075649,0.0075029,0.0046831,0.0027936,0.0027563,0.0032174,0.0031183
9,1,SAIT,5.3,0,47,42.67,C,0.12427,0.12427,0.14254,0.16505,0.18841,0.20897,0.20451,0.23337,0.26347,0.25764,0.26981,0.30631,0.34705,0.30637,0.30004,0.10628,0.059628,0.023968,0.014692,0.011731,0.0070457,0.0058704,0.0039207,0.0045529,0.0054067,0.0039529,0.0027351,0.0018534
10,1,UMMU,5.3,0,47,13.85,A,0.083843,0.086215,0.10189,0.10065,0.11736,0.14107,0.16201,0.22199,0.26818,0.27715,0.29743,0.20872,0.10427,0.048517,0.031369,0.019392,0.017835,0.0097841,0.0085667,0.0065857,0.0045386,0.0040946,0.0046428,0.003429,0.0024047,0.0020146,0.0016557,0.0010232
